category,description,title,asin
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Oatmeal']","['The thick, rich texture features whole rolled oats, steel cut oats and the super-grain quinoa, perfectly balanced with a mouthwatering assortment of sweet strawberries, blueberries and raspberries.', ""'WHOLE GRAIN BLEND (ROLLED OATS, STEEL CUT OATS, QUINOA), DRIED CANE SYRUP, ISOLATED SOY PROTEIN, CHICORY ROOT FIBER, DRIED BERRY BLEND (STRAWBERRIES, BLUEBERRIES, RASPBERRIES), NATURAL FLAVORS (CONTAINS MILK), SEA SALT.'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Think Products Oatmeal, Protein and Berry Crumble Box, 10.6 Ounce",B01ALQN78Y
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Cereal']","['', ""After a run with friends, throw in a few waters and a couple gluten free fig bars and it's a party. Well, not exactly. But they'll thank you for the post work out pick-me-up. Gluten free and made with ancient grains. No high fructose corn syrup, artificial flavors, colors or preservatives and soy free. Conveniently packaged for on-the -go snacking."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Nature's Bakery Gluten Free Fig Bars - Raspberry - 12 Count,B00WFDK6KE
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Granola']",[],"Garber's Granola (maple cinnamon, 24 OZ)",B00JEM272Y
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars']","['Special K Pastry Crispsare an indulgent, 100-calorie treat to look forward to. Take a break and bite into aperfectly crumbly crust with a decadent drizzle of frosting and sweet, gooey, brown sugar cinnamon-flavored filling. A quick and tasty anytime snack, Special K Pastry Crisps are an ideal companion for lunch boxes, afternoon treats, and busy, on-the-go moments that call for something sweet.', 'Enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), sugar, fructose, vegetable glycerin, vegetable oil (soybean, palm and/or palm kernel oil), maltodextrin, dextrose, brown sugar, rice flour.Contains 2% or less of modified food starch, nonfat milk, invert sugar, leavening (baking soda, sodium acid pyrophosphate, monocalcium phosphate), soy lecithin, reduced minerals whey, fruit juice for color, sodium citrate, salt, DATEM, cornstarch, cellulose gel, molasses, cinnamon, mono- and diglycerides, vegetable juice for color, sodium alginate, cellulose gum, tricalcium phosphate, citric acid, malic acid, natural flavors, rosemary extract for freshness.', 'Ready-to-eat', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Special K Pastry Crisps, Brown Sugar Cinnamon, 7.92 oz, 18 Crisps, 2 per Pouch (9 Pouches)(Pack of 9)",B010HE29XY
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Granola']","[""Gluten free oatcakes. Naturally versatile Three separately wrapped pouches, so you can carry them with you when you're on the go. An energy boost to start your day. Why not try some natural yoghurt and fresh fruit compote? A great lunch box alternative to the traditional sandwich. For a quick bite try adding some parma ham. Pure, gluten free oats At Nairn's we love our oats and that's why we've created a range of delicious, gluten free food that everyone can enjoy. Naturally, oats do not contain gluten, but can be contaminated by contact with other grains. Nairn's gluten free oats are grown in completely separate fields to ensure they remain free from contamination. They are milled in strictly controlled conditions and then made into delicious oatcakes in our dedicated gluten free bakery, using Nairn's years of expertise in making oaty products. Gluten free wholegrain oats, High fibre, No hydrogenated fat, No added sugar (contains naturally occurring sugars), No GM ingredients, No artificial colours, flavours or preservatives, Suitable for vegans"", 'Wholegrain Oats (83%), Sustainable Palm Fruit Oil, Sea Salt, Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate).', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Nairns Gluten Free Oatcakes 160G,B00HD698AM
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Cold Cereals']","['Made with organic wheat bran flakes and plump organic raisins.', ""'WHOLE GRAIN WHEAT*, WHEAT BRAN*, RAISINS*, SUGAR*, OAT FIBER*, SEA SALT, MALTED BARLEY EXTRACT*. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO RETAIN FRESHNESS.'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Cascadian Farm - Organic Raisin Bran Cereal, Organic, Whole Grain, 12 oz (Pack of 3)",B00FQKHT2Q
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Cereal']","['', 'Clif Bar Energy Bar - Chocolate Brownie - 2.4 oz - 6 ct', ""'ORGANIC BROWN RICE SYRUP, ORGANIC ROLLED OATS, SOY PROTEIN ISOLATE, ORGANIC CANE SYRUP, ORGANIC ROASTED SOYBEANS, RICE FLOUR, DRIED CANE SYRUP, UNSWEETENED CHOCOLATE\\xe2\\u20ac\\xa1, COCOA\\xe2\\u20ac\\xa1, ORGANIC SOY FLOUR, ORGANIC HIGH OLEIC SUNFLOWER OIL, ORGANIC OAT FIBER, ALKALIZED COCOA\\xe2\\u20ac\\xa1, NATURAL FLAVORS, COCOA BUTTER\\xe2\\u20ac\\xa1, SEA SALT, BARLEY MALT EXTRACT, SOY LECITHIN. VITAMINS & MINERALS: DICALCIUM PHOSPHATE, MAGNESIUM OXIDE, ASCORBIC ACID (VIT. C), DL-ALPHA TOCOPHERYL ACETATE (VIT. E), BETA CAROTENE (VIT. A), NIACINAMIDE (VIT. B3), ERGOCALCIFEROL (VIT. D2), THIAMINE MONONITRATE (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), RIBOFLAVIN (VIT. B2), CYANOCOBALAMIN (VIT. B12).'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Clif Bar Energy Bars - Chocolate Brownie - 2.4 oz - 6 ct,B015M2767K
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Cereal']","['Honey Nut Cheerios Cup Cereal', 'WHOLE GRAIN OATS, SUGAR, OAT BRAN, CORN STARCH, HONEY, BROWN SUGAR SYRUP, SALT, TRIPOTASSIUM PHOSPHATE, RICE BRAN OIL AND/OR CANOLA OIL, NATURAL ALMOND FLAVOR. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, ZINC AND IRON (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMIN MONONITRATE), VITAMIN A (PALMITATE), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.', 'Ready to Eat', '1 pack of 6 cups', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Honey Nut Cheerios Cereal, Single-Serve 1.8oz Cup, 6/Pack",B000NO00HQ
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Cold Cereals']","['Post Waffle Crisp - 11.05 oz - 2 pk', ""'CORN FLOUR, SUGAR, WHOLE GRAIN OAT FLOUR, CANOLA OIL, SALT, CARAMEL COLOR, INVERT SUGAR, NATURAL AND ARTIFICIAL FLAVOR, BHT ADDED TO PRESERVE FRESHNESS. VITAMINS AND MINERALS: REDUCED IRON, NIACINAMIDE (VITAMIN B3), ZINC OXIDE, THIAMIN MONONITRATE (VITAMIN B1), CALCIUM PANTOTHENATE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), FOLIC ACID, FERRIC ORTHOPHOSPHATE (SOURCE OF IRON).'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Post Waffle Crisp - 11.05 oz - 2 pk,B00KQ0O2KI
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars']","['Enjoy creamy, delicious, chocolate dip The Walden Way, and still eat healthy! Instead of a high calorie, high fat chocolate dip that can easily add 130 calories with just 2 level tablespoons, switch to Walden Farms Calorie Free Chocolate Dip. Made with real chocolate and premium natural cocoa beansbut no calories, fat, carbs, gluten or sugars of any kind! Fabulous with fruit, in a parfait, a smoothie, over ice cream and delicious in any recipe that calls for chocolate.\nSwitch and save hundreds of calories every time, The Walden Way.']"," Walden Farms Chocolate Dip, 12-Ounce (Pack of 6)",B001KUWG38
"['Grocery & Gourmet Food', 'Breakfast Foods']",[],Tasty Bite Paneer McKhan Rte Entree (6x10 OZ),B00IV72H8C
